ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Usn,Language,Description
Unassociated,0006009c641ae6575c42881cd8732c18bd0000000000,2024-06-29 03:00:33,bce0681ba0026958c72e54b9c2945e158cdc4f79,False,c:\users\esteb\downloads\installers\spotifysetup.exe,SpotifySetup.exe,.exe,2024-06-17 14:32:47,spotify,1020336,"0,0,0,0",1.2.40.599.g606b7f29,,pe32_i386,False,1.2.40.599,0.0.0.0,720751400,0,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,5dfc428c74c417873c6f5c65355d32904d1b8d46,True,c:\windows\system32\sppextcomobj.exe,SppExtComObj.Exe,.exe,2025-01-17 16:37:31,microsoft® windows® operating system,589824,10.0.22621.3733 (winbuild.160101.0800),10.0.22621.3733,,pe64_amd64,False,10.0.22621.3733,10.0.22621.3733,989732640,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,43b435342c83e68bb7f4d336780607fbee8d8867,True,c:\windows\system32\srtasks.exe,SrTasks.exe,.exe,2055-11-25 16:27:19,microsoft® windows® operating system,77824,10.0.22621.1 (winbuild.160101.0800),10.0.22621.1,,pe64_amd64,False,10.0.22621.1,10.0.22621.1,950159808,1033,
Unassociated,00061448838b9d7835f591489a41baa6bb9000000904,2024-06-29 03:00:24,a4a08c73f8ceae7b3aaac05bdc4e22403cd5b1b5,False,c:\program files (x86)\steam\steamerrorreporter.exe,steamerrorreporter.exe,.exe,2024-06-20 17:15:47,steam,571752,08.98.79.13,03.00.00.01,,pe32_i386,False,8.98.79.13,3.0.0.1,704701112,1033,
Unassociated,00061448838b9d7835f591489a41baa6bb9000000904,2024-06-29 03:00:24,eb2dd26940a1f907977046f4717a1df93cdc5f22,False,c:\program files (x86)\steam\steamerrorreporter64.exe,steamerrorreporter64.exe,.exe,2024-06-20 17:11:25,steam,654696,08.98.79.13,03.00.00.01,,pe64_amd64,False,8.98.79.13,3.0.0.1,704701440,1033,
Unassociated,000604b045268df12a171ddf6b7a9ac9f52f00000904,2024-06-28 16:18:18,96089a98ba49f92ab22f7c0679fac2f1b1192e6e,False,c:\program files (x86)\common files\steam\steamservice.exe,steamservice.exe,.exe,2024-06-20 17:14:30,steam client service,2659688,08.98.79.13,01.00.00.01,,pe32_i386,False,8.98.79.13,1.0.0.1,705085200,1033,
Unassociated,00061f90054fadef594acb85466bba20bff20000ffff,2024-06-29 03:00:33,da5995070737ec655824c92622333c489eb6bce4,False,c:\users\esteb\downloads\installers\steamsetup.exe,SteamSetup.exe,.exe,2016-07-25 00:55:51,steam,2380800,2.10.91.91,,,pe32_i386,False,2.10.91.91,2.10.91.91,697156368,0,
Unassociated,000601e8cd36bbdd8002caa0e1fe3cbbb19b0000ffff,2024-06-29 03:00:25,cbc0eef8455f86aa552e011a241e71f206bf759e,False,c:\program files (x86)\common files\steam\drivers\windows8.1\x86\steamstreamingmicrophone.sys,SteamStreamingMicrophone.sys,.sys,2017-07-28 15:34:28,,24656,,,,pe32_i386,False,,,705107792,0,
Unassociated,000601e8cd36bbdd8002caa0e1fe3cbbb19b0000ffff,2024-06-29 03:00:25,c670b23cd489f7ba9176646ca5ea78d5cdbf7229,False,c:\program files (x86)\common files\steam\drivers\windows8.1\x64\steamstreamingmicrophone.sys,SteamStreamingMicrophone.sys,.sys,2017-07-28 15:33:15,,31392,,,,pe64_amd64,False,,,705103896,0,
Unassociated,000601e8cd36bbdd8002caa0e1fe3cbbb19b0000ffff,2024-06-29 03:00:24,df316ccb3ffa8ba49dc64500776bec4c8dfff19b,False,c:\program files (x86)\common files\steam\drivers\windows10\x86\steamstreamingmicrophone.sys,SteamStreamingMicrophone.sys,.sys,2017-07-28 15:34:28,,34000,,,,pe32_i386,False,,,705098088,0,
Unassociated,000601e8cd36bbdd8002caa0e1fe3cbbb19b0000ffff,2024-06-29 03:00:24,f270cd77f6dc9dc2a88230f3ebd16fbaca8ee187,False,c:\program files (x86)\common files\steam\drivers\windows10\x64\steamstreamingmicrophone.sys,SteamStreamingMicrophone.sys,.sys,2017-07-28 15:33:15,,40736,,,,pe64_amd64,False,,,705092456,0,
Unassociated,000624d508f13a14b8342d05d1517a6814900000ffff,2024-06-29 03:00:25,94ec11a00a5f94177fe424eccc768fe222260965,False,c:\program files (x86)\common files\steam\drivers\windows8.1\x86\steamstreamingspeakers.sys,SteamStreamingSpeakers.sys,.sys,2017-07-21 00:55:52,,24656,,,,pe32_i386,False,,,705109592,0,
Unassociated,000624d508f13a14b8342d05d1517a6814900000ffff,2024-06-29 03:00:25,0d9251895314bf7c15c2c05914a687885236222b,False,c:\program files (x86)\common files\steam\drivers\windows8.1\x64\steamstreamingspeakers.sys,SteamStreamingSpeakers.sys,.sys,2017-07-21 00:56:15,,31392,,,,pe64_amd64,False,,,705105248,0,
Unassociated,000624d508f13a14b8342d05d1517a6814900000ffff,2024-06-29 03:00:24,8e7a266d281a3bf2dda9fa7602c6f22d0873baec,False,c:\program files (x86)\common files\steam\drivers\windows10\x64\steamstreamingspeakers.sys,SteamStreamingSpeakers.sys,.sys,2017-07-21 00:56:15,,40736,,,,pe64_amd64,False,,,705093856,0,
Unassociated,000624d508f13a14b8342d05d1517a6814900000ffff,2024-06-29 03:00:25,b37eef36bb14958719966ae2de4dd5a28ebc9f1d,False,c:\program files (x86)\common files\steam\drivers\windows10\x86\steamstreamingspeakers.sys,SteamStreamingSpeakers.sys,.sys,2017-07-21 00:55:52,,34000,,,,pe32_i386,False,,,705099440,0,
Unassociated,0006f72d07ae8b2fc04ef96ca13f7aa409bd00000904,2024-06-28 16:18:19,715327a04ae4cf613fcc550c4b00857c177671a3,False,c:\program files (x86)\steam\bin\cef\cef.win7x64\steamwebhelper.exe,steamwebhelper.exe,.exe,2024-06-20 17:12:18,steam client webhelper,7241064,08.98.79.13,01.00.00.01,,pe64_amd64,False,8.98.79.13,1.0.0.1,703092512,1033,
Unassociated,00061b7a569ea4fbc7a043291e410b0190d500000904,2024-06-29 03:00:24,7e5b5f0bd7feef945ab10a397c12439d58465bce,False,c:\program files (x86)\common files\steam\drivers\windows10\x64\steamxbox.sys,steamxbox.sys,.sys,2023-02-21 18:38:23,steam xbox controller enhanced features driver,278208,1.0.0.16,1.0.0.16,,pe64_amd64,False,1.0.0.16,1.0.0.16,705095288,1033,
Unassociated,00061b7a569ea4fbc7a043291e410b0190d500000904,2024-06-29 03:00:25,663024083e53796b4ea4b7cb86de7346a16552c1,False,c:\program files (x86)\common files\steam\drivers\windows10\x86\steamxbox.sys,steamxbox.sys,.sys,2023-02-21 18:27:04,steam xbox controller enhanced features driver,226024,1.0.0.16,1.0.0.16,,pe32_i386,False,1.0.0.16,1.0.0.16,705100872,1033,
Unassociated,00069a1b56945adb81e57ca09c406f2d683b00000904,2024-06-29 03:00:25,d9608cfc4527978105e77f26671fdefbaa4247cc,False,c:\program files (x86)\common files\steam\steamxboxutil64.exe,steamxboxutil64.exe,.exe,2024-06-20 17:10:47,steam xbox driver utility,780136,08.98.79.13,01.00.00.00,,pe64_amd64,False,8.98.79.13,1.0.0.0,705089400,1033,
Unassociated,000632319cb04542ecec3dac47b65eda829c00000904,2024-06-29 03:00:24,040203e16d09cd76e87309293a3f0e4c17045de9,False,c:\program files (x86)\steam\streaming_client.exe,streaming_client.exe,.exe,2024-06-20 17:15:37,steam,9175912,08.98.79.13,01.00.00.01,,pe32_i386,False,8.98.79.13,1.0.0.1,704897984,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,3f64c98f22da277a07cab248c44c56eedb796a81,True,c:\windows\system32\svchost.exe,svchost.exe,.exe,2028-05-11 16:56:05,microsoft® windows® operating system,79920,10.0.22621.1 (winbuild.160101.0800),10.0.22621.1,,pe64_amd64,False,10.0.22621.1,10.0.22621.1,948996632,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,56f09f356bad55c4f3b773cd48c7b4c2f3447e6e,True,c:\windows\system32\sysprep\sysprep.exe,sysprep.exe,.exe,2050-03-04 19:15:23,microsoft® windows® operating system,1368064,10.0.22621.1 (winbuild.160101.0800),10.0.22621.1,,pe64_amd64,False,10.0.22621.1,10.0.22621.1,948609024,1033,
