KeyName,KeyLastWriteTimestamp,DriverTimeStamp,DriverLastWriteTime,DriverName,DriverInBox,DriverIsKernelMode,DriverSigned,DriverCheckSum,DriverCompany,DriverId,DriverPackageStrongName,DriverType,DriverVersion,ImageSize,Inf,Product,ProductVersion,Service,WdfVersion
c:/windows/system32/drivers/rdbss.sys,2024-06-30 15:47:46,2017-11-26 11:33:48,2024-06-29 04:50:32,rdbss.sys,True,True,True,551721,Microsoft Corporation,b1ec85db86172119a2671d3b1ba2c5934d24743e,,8650778,10.0.22621.3672,512000,,Microsoft® Windows® Operating System,10.0.22621.1,rdbss,
c:/windows/system32/drivers/rdpbus.sys,2024-06-30 15:47:46,2044-08-09 14:26:39,2024-05-23 02:18:35,rdpbus.sys,True,True,True,75968,Microsoft Corporation,d441fc18c13ad51d0bedd6c362a01425f633c3ac,rdpbus.inf_amd64_269327bbdc480e52,8650778,10.0.22621.2506,65536,rdpbus.inf,Microsoft® Windows® Operating System,10.0.22621.2506,rdpbus,
c:/windows/system32/drivers/rdpdr.sys,2024-06-30 15:47:46,2046-03-10 00:28:27,2022-05-07 05:20:14,rdpdr.sys,True,True,True,214924,Microsoft Corporation,08ebde34854f6e07d00679efe42831d339e072dc,,8650778,10.0.22621.1,196608,,Microsoft® Windows® Operating System,10.0.22621.1,rdpdr,
c:/windows/system32/drivers/rdpvideominiport.sys,2024-06-30 15:47:46,2014-05-08 00:06:08,2024-06-29 04:51:20,rdpvideominiport.sys,True,True,True,74072,Microsoft Corporation,637f694e39d064f3f4d4aacb35d378fbc8d827e3,,8650778,10.0.22621.3593,57344,,Microsoft® Windows® Operating System,10.0.22621.3593,rdpvideominiport,
c:/windows/system32/drivers/rdyboost.sys,2024-06-30 15:47:46,2003-02-17 10:19:03,2024-05-23 02:18:37,rdyboost.sys,True,True,True,341903,Microsoft Corporation,b6b7afe52cb484821dcdfb20d423dd6015122775,,8651034,10.0.22621.2506,331776,,Microsoft® Windows® Operating System,10.0.22621.2506,rdyboost,
c:/windows/system32/drivers/rfcomm.sys,2024-06-30 15:47:46,2105-05-06 23:54:00,2024-05-23 02:17:37,rfcomm.sys,True,True,True,269562,Microsoft Corporation,4abb5e66d64596f1c041ef10226cede2f84a2b0c,tdibth.inf_amd64_454afc629bcb7428,8650778,10.0.22621.2506,249856,tdibth.inf,Microsoft® Windows® Operating System,10.0.22621.2506,rfcomm,
c:/windows/system32/drivers/rhproxy.sys,2024-06-30 15:47:46,2019-04-24 19:21:21,2024-05-23 02:17:15,rhproxy.sys,True,True,True,168551,Microsoft Corporation,dde207d12dc1832a7afd85cb54d926ce5fcd78d4,,8650778,10.0.22621.2506,147456,,Microsoft® Windows® Operating System,10.0.22621.2506,rhproxy,
c:/windows/system32/drivers/routepolicy.sys,2024-06-30 15:47:46,2007-10-15 03:59:32,2024-05-23 02:18:20,routepolicy.sys,True,True,True,110023,Missing,df420c45108e4bb83f3f08d0aa88ca2bb5a54b40,,8650778,Missing,98304,,Missing,Missing,routepolicy,
c:/windows/system32/drivers/rspndr.sys,2024-06-30 15:47:46,1989-08-09 14:53:32,2024-05-23 02:17:53,rspndr.sys,True,True,True,167729,Microsoft Corporation,3173c1daf67633c0535ddc69133459d443496465,,8650778,10.0.22621.2506,118784,,Microsoft® Windows® Operating System,10.0.22621.2506,rspndr,
c:/windows/system32/drivers/rtkbtfilter.sys,2024-06-30 15:47:46,2023-02-07 03:01:16,2023-05-19 08:15:16,rtkbtfilter.sys,False,True,True,892398,Realtek Semiconductor Corporation,0aee09db460ccfaf5380c3bf1fa9afc046b119eb,,262218,1.10.1058.3,876544,,Bluetooth Software,1.10.1058.3,rtkbtfilter,1.15
